Tail_Number,count,Tail_Number_Grupo
N793SK,6943,3
N929AT,6940,3
N623QX,6940,3
N559WN,6938,3
N8605E,6936,3
N627AE,6934,3
N716SW,6934,3
N258SY,6933,3
N726YX,6933,3
N7745A,6933,3
N250SY,6931,3
N276SY,6930,3
N944AT,6929,3
N690AE,6929,3
N273SY,6929,3
N242SY,6928,3
N912SW,6928,3
N709BR,6927,3
N262SY,6926,3
N932SW,6925,3
N252SY,6925,3
N7748A,6922,3
N727YX,6921,3
N253SY,6921,3
N976SW,6920,3
N557WN,6918,3
N7723E,6917,3
N925AE,6917,3
N724YX,6916,3
N8569Z,6915,3
N683AE,6914,3
N8608N,6913,3
N906EV,6912,3
N626QX,6911,3
N254SY,6907,3
N7724A,6903,3
N430QX,6902,3
N569NN,6902,3
N736YX,6901,3
N7731A,6901,3
N783SK,6900,3
N677AE,6897,3
N563WN,6893,3
N964SW,6892,3
N265SY,6890,3
N954AT,6889,3
N447WN,6887,3
N648AE,6885,3
N7747C,6884,3
N902WN,6882,3
N199SY,6881,3
N247SY,6880,3
N271SY,6879,3
N264SY,6878,3
N446WN,6878,3
N997AT,6876,3
N546FF,6872,3
N906WN,6869,3
N673AE,6868,3
N739YX,6868,3
N510AE,6866,3
N977AT,6865,3
N400SY,6864,3
N927AT,6863,3
N942LL,6863,3
N7752B,6863,3
N942AT,6860,3
N863AS,6858,3
N949AT,6857,3
N7737E,6857,3
N907WN,6856,3
N646AE,6856,3
N7815L,6854,3
N255SY,6849,3
N956SW,6849,3
N788SK,6848,3
N742YX,6848,3
N782SK,6848,3
N244SY,6847,3
N402SY,6845,3
N8603F,6843,3
N624AE,6843,3
N7819A,6842,3
N207JQ,6838,3
N622QX,6837,3
N723YX,6835,3
N8572X,6833,3
N901WN,6832,3
N785SK,6831,3
N8570W,6830,3
N752YX,6830,3
N404SY,6830,3
N637AE,6826,3
N453WN,6825,3
N929SW,6825,3
N651AE,6825,3
N671AE,6824,3
N209JQ,6820,3
N297PQ,6816,3
N904EV,6811,3
N975SW,6810,3
N7729A,6810,3
N787SK,6808,3
N282SY,6808,3
N279SY,6807,3
N7848A,6806,3
N702BR,6802,3
N405SY,6800,3
N283SY,6799,3
N943AT,6793,3
N508AE,6793,3
N717SA,6793,3
N749YX,6792,3
N269SY,6791,3
N562WN,6786,3
N277SY,6785,3
N511AE,6783,3
N640AE,6783,3
N699AE,6781,3
N721YX,6781,3
N243SY,6780,3
N514AE,6779,3
N8946A,6775,3
N7749B,6772,3
N263SY,6770,3
